District code,State name,District name,Population,Male,Female,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Illiterate_Education,Age not stated,literate education,age 0-29,age 30-49,age 50>
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1596278,276846,3137,3160,3161,487,710960,2672,1174244,1224584,411153,246795
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1375788,273967,1263,504,2033,606,543034,2137,1113582,1069916,361028,223535
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1457892,113961,1362,1045,1733,3917,397708,2365,1184102,979633,362026,237786
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,1273546,101963,1004,371,332,228,276224,392,1103321,856336,320763,202054
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1612968,176327,1300,478,819,155,475166,3174,1321018,1100820,415918,276272
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3792174,720660,15751,29676,2733,5710,676306,9508,3904962,2630411,1209554,731795
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1509708,171581,1148,463,2875,256,461666,2113,1228308,1002817,410090,274954
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1823930,147842,7050,4951,1203,7328,483088,8243,1515515,1171301,510728,308331
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,1163804,33724,1351,1034,69,20390,509536,3295,712056,793551,265080,159666
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,1010014,91269,814,196,74,41,364848,2034,739437,660774,260368,181109
169,UTTAR PRADESH,Mahoba,875958,466358,409600,815142,57454,965,389,94,234,403649,10104,472309,527067,201394,137393
170,UTTAR PRADESH,Banda,1799410,965876,833534,1637549,157612,1367,231,168,916,588025,5141,1211385,1120432,408527,265310
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,955372,34559,693,63,101,285,383908,2787,607822,638046,214228,136669
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,2274674,350700,2201,402,172,199,895178,8525,1737555,1624830,603831,395547
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,2731351,452394,3920,1451,7795,746,1059636,10748,2149505,2002569,703727,492097
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,1372381,220423,2225,522,687,545,670750,18540,928846,1034099,336401,210556
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,5102041,796756,13782,4377,4391,2247,1756098,36626,4198293,3764404,1335224,818137
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,2505444,737106,4857,2090,1553,3016,1540841,62601,1719858,2043335,709494,445269
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,2094271,365806,3225,1912,737,358,981915,25684,1489081,1534832,543148,367332
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1985654,401678,2536,869,1817,235,813502,15931,1584386,1499494,515229,367234
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,3119590,650261,4453,1629,9989,426,1118891,11856,2678226,2376875,828222,580164
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,2291892,1169330,6400,8212,2793,1177,1920966,11397,1566765,2275746,754346,446242
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464,768643,343981,1427,407,323,68,701550,4841,415811,723443,245098,143979
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,1333242,805975,3228,900,1866,198,1332817,7166,815848,1415213,442339,283947
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,2739076,678615,4735,1893,649,338,1620782,11354,1813137,2223078,734903,464584
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1789704,748073,3042,681,11964,179,1217027,4922,1342270,1690396,504002,359977
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,2082976,364510,3493,900,9753,107,1021192,7271,1443272,1574037,519265,363891
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,1300586,404410,1766,447,4393,95,683053,3918,1032130,1108368,352395,250502
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,2196884,458650,3527,1381,16030,243,1252595,24523,1432108,1694493,595114,370573
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,4009037,403847,9662,2123,2848,460,1453960,33474,2986935,2755630,992114,659677
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,2928462,620244,5006,767,4619,383,1550315,54552,2014229,2236842,772777,500373
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,2730957,358539,3626,818,1182,209,1130108,8683,1970838,1946336,664708,481219
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,3878626,718692,3810,719,5652,183,1218146,17840,3395767,2930243,965876,699954
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1769937,428555,2109,340,564,155,659237,12627,1546731,1402738,467343,323260
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,3004240,213440,4463,892,1595,233,1032533,36850,2207241,1975934,724362,502628
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,3981502,483750,4947,1286,7898,349,1344789,50746,3149415,2826453,927026,689979
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,3233790,368153,4181,810,3145,213,1008996,55272,2611272,2234593,774130,556273
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1727869,215081,2153,1389,340,100,543247,5294,1409509,1222695,437000,287767
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,3107681,546987,7696,3309,1146,1898,906367,28765,2770474,2260457,856070,531549
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,1368291,203887,1365,199,1562,161,552958,4256,1025255,1032294,331743,209920
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,2292534,195765,2373,1133,341,701,868542,7492,1628428,1590528,552177,346773
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,1738769,103567,3963,1649,1747,487,745126,1841,1117433,1203938,418914,237866
201,UTTAR PRADESH,Etah,1774480,947339,827141,1611126,146346,2464,708,2887,5671,718310,3974,1056170,1149372,383707,237427
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,1211427,213822,1969,2280,3907,313,648166,5713,788553,946320,301252,183434
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,3047427,865090,8469,926,1337,296,1710878,4839,2224164,2544205,888205,497793
204,BIHAR,Purba Champaran,5099371,2681209,2418162,4086453,990349,4865,668,878,464,2142757,12600,2956614,3316422,1122340,648009
205,BIHAR,Sheohar,656246,346673,309573,552492,99342,522,216,73,52,348078,1698,308168,421241,139909,93398
206,BIHAR,Sitamarhi,3423574,1803252,1620322,2672311,740101,2897,261,253,188,1852765,28217,1570809,2206340,739982,449035
207,BIHAR,Madhubani,4487379,2329313,2158066,3652168,818912,3262,564,328,442,2003079,5601,2484300,2860455,1009424,611899
208,BIHAR,Supaul,2229076,1155283,1073793,1809936,409251,3758,271,136,546,1220268,3008,1008808,1453438,495020,277610
209,BIHAR,Araria,2811569,1463333,1348236,1593525,1207442,4116,371,187,1910,1653766,2523,1157803,1872943,612012,324091
210,BIHAR,Kishanganj,1690400,866970,823430,531236,1149095,5783,398,183,1476,945397,1224,745003,1139615,361114,188447
211,BIHAR,Purnia,3264619,1699370,1565249,1989420,1255641,7989,614,353,1450,1798786,39859,1465833,2155512,696556,372692
212,BIHAR,Katihar,3071029,1600430,1470599,1684589,1365645,8659,2754,212,507,1705551,2941,1365478,2054202,660403,353483
213,BIHAR,Madhepura,2001762,1047559,954203,1753829,241760,1342,170,60,133,1202278,3374,799484,1311771,444235,242382
214,BIHAR,Saharsa,1900661,997174,903487,1629254,266620,1292,197,60,109,1151349,1236,749312,1249692,415863,233870
215,BIHAR,Darbhanga,3937385,2059949,1877436,3042729,881476,3534,832,245,236,2203198,6756,1734187,2535344,865971,529314
216,BIHAR,Muzaffarpur,4801062,2527497,2273565,4032773,745546,5149,933,288,382,1924438,8030,2876624,3016735,1079189,697108
217,BIHAR,Gopalganj,2562012,1267666,1294346,2119262,436057,2463,271,167,133,977719,2341,1584293,1642807,546202,370662
218,BIHAR,Siwan,3330464,1675090,1655374,2712635,608282,2618,369,407,359,1207119,3120,2123345,2115448,713597,498299
219,BIHAR,Saran,3951862,2022821,1929041,3534772,406449,2330,371,229,322,1313700,3330,2638162,2516115,847031,585386
220,BIHAR,Vaishali,3495021,1844535,1650486,3152346,333980,2203,707,362,246,1479152,73156,2015869,2176701,759132,486032
221,BIHAR,Samastipur,4261566,2230003,2031563,3800598,452370,2126,554,292,231,1996651,12485,2264915,2766930,913339,568812
222,BIHAR,Begusarai,2970541,1567660,1402881,2554330,407348,2209,402,229,276,1242551,3983,1727990,1951688,644874,369996
223,BIHAR,Khagaria,1666886,883786,783100,1486989,175588,1253,143,79,86,903323,914,763563,1114645,355531,195796
224,BIHAR,Bhagalpur,3037766,1615663,1422103,2487866,537098,3556,415,180,1050,1139715,12573,1898051,1952879,674660,397654
225,BIHAR,Banka,2034763,1067140,967623,1772655,250925,6138,139,113,94,879831,2585,1154932,1291235,462080,278863
226,BIHAR,Munger,1367765,729041,638724,1252319,110416,1815,338,95,145,498676,2586,869089,860147,316713,188319
227,BIHAR,Lakhisarai,1000912,526345,474567,956396,40886,487,140,52,78,450967,775,549945,650642,218840,130655
228,BIHAR,Sheikhpura,636342,329743,306599,596102,37653,313,75,41,43,305609,924,330733,413475,136898,85045
229,BIHAR,Nalanda,2877653,1497060,1380593,2669775,198033,1978,393,414,561,1324385,3199,1553268,1829128,642197,403129
230,BIHAR,Patna,5838465,3078512,2759953,5356075,439952,12551,4803,1062,2151,2590473,13609,3247992,3626564,1382654,815638
231,BIHAR,Bhojpur,2728407,1430380,1298027,2518216,197819,2165,544,647,1472,1005140,5559,1723267,1722387,613072,387389
232,BIHAR,Buxar,1706352,887977,818375,1591454,105423,2125,248,5090,97,457814,2228,1248538,1074754,375372,253998
233,BIHAR,Kaimur (Bhabua),1626384,847006,779378,1456229,155283,1407,296,7707,129,551317,6861,1075067,1039302,353413,226808
234,BIHAR,Rohtas,2959918,1543546,1416372,2645415,300487,2889,2569,1584,252,876443,3809,2083475,1875174,673742,407193
235,BIHAR,Aurangabad,2540073,1318684,1221389,2291133,237353,2218,295,334,775,784131,7585,1755942,1626969,564571,340948
236,BIHAR,Gaya,4391418,2266566,2124852,3876395,488121,3943,913,870,1723,1953368,107429,2438050,2810026,936630,537333
237,BIHAR,Nawada,2219146,1144668,1074478,1964620,244394,1299,250,176,279,1091439,3932,1127707,1440781,485628,288805
238,BIHAR,Jamui,1760405,916064,844341,1525746,217621,8443,162,159,87,765297,5418,995108,1135919,392052,227016
239,BIHAR,Jehanabad,1125313,585582,539731,1045117,75742,691,148,248,60,495877,1381,629436,714244,254582,155106
240,BIHAR,Arwal,700843,363497,337346,634099,64259,390,59,323,74,290095,1814,410748,444448,156031,98550
241,SIKKIM,North  District,43709,24730,18979,14883,815,2660,816,23318,35,7673,49,36036,27099,11674,4887
242,SIKKIM,West District,136435,70238,66197,75286,965,13002,40,36390,20,28227,306,108208,84209,32520,19400
243,SIKKIM,South District,146850,76670,70180,84583,1889,21462,151,35053,45,24395,568,122455,87982,37318,20982
244,SIKKIM,East District,283583,151432,132151,177910,6198,23398,861,72455,214,38142,253,245441,165520,80354,37456
245,ARUNACHAL PRADESH,Tawang,49977,29151,20826,11842,787,776,1164,34920,72,19203,20,30774,30709,13849,5399
246,ARUNACHAL PRADESH,West Kameng,83947,46155,37792,31265,1970,8466,328,36087,71,25606,66,58341,53026,22362,8493
247,ARUNACHAL PRADESH,East Kameng,78690,38775,39915,12333,652,37136,36,452,23,31763,56,46927,53752,17922,6960
248,ARUNACHAL PRADESH,Papum Pare,176573,89182,87391,57027,6148,84397,310,4768,139,30360,313,146213,120592,43812,11856
249,ARUNACHAL PRADESH,Upper Subansiri,83448,41758,41690,13474,521,8779,28,297,11,28364,109,55084,56054,20055,7230
250,ARUNACHAL PRADESH,West Siang,112274,58168,54106,15881,2218,29969,577,3311,49,27956,85,84318,70415,28305,13469
251,ARUNACHAL PRADESH,East Siang,99214,50116,49098,27854,2289,18254,69,776,30,21543,85,77671,61993,25334,11802
252,ARUNACHAL PRADESH,Upper Siang,35320,18699,16621,5261,411,5643,27,2577,7,11209,68,24111,21090,8910,5252
253,ARUNACHAL PRADESH,Changlang,148226,76948,71278,47683,2134,35969,94,50381,95,57290,164,90936,96630,35018,16414
254,ARUNACHAL PRADESH,Tirap,111975,57604,54371,20682,1103,83361,61,778,43,50628,98,61347,71785,25669,14423
255,ARUNACHAL PRADESH,Lower Subansiri,83030,41843,41187,9551,1482,34402,27,193,13,17273,55,65757,55258,20305,7412
256,ARUNACHAL PRADESH,Kurung Kumey,92076,45318,46758,4859,471,51189,43,121,81,42621,148,49455,64379,20713,6836
257,ARUNACHAL PRADESH,Dibang Valley,8004,4414,3590,3141,111,223,7,126,2,2185,17,5819,5113,2088,786
258,ARUNACHAL PRADESH,Lower Dibang Valley,54080,28053,26027,28915,2247,9213,33,2932,19,14406,34,39674,35140,13254,5652
259,ARUNACHAL PRADESH,Lohit,145726,76221,69505,99020,3846,10684,210,24452,104,52421,148,93305,94890,35493,15195
260,ARUNACHAL PRADESH,Anjaw,21167,11507,9660,13088,655,271,273,644,12,8723,43,12444,13913,4755,2456
261,NAGALAND,Mon,250260,131753,118507,8102,3444,236494,84,1256,314,130529,450,119731,168773,53600,27437
262,NAGALAND,Mokokchung,194622,101092,93530,9840,2057,181847,78,442,66,22555,163,172067,111243,52853,30363
263,NAGALAND,Zunheboto,140757,71217,69540,2580,772,136995,39,286,6,25988,51,114769,91709,32267,16730
264,NAGALAND,Wokha,166343,84505,81838,5605,2043,158236,34,318,8,25048,71,141295,106951,40510,18811
265,NAGALAND,Dimapur,378811,197394,181417,108900,31212,234239,566,1270,2148,58926,200,319885,243392,98601,36618
266,NAGALAND,Phek,163418,83743,79675,3563,950,158224,31,350,17,44456,93,118962,108514,37842,16969
267,NAGALAND,Tuensang,196596,101933,94663,2979,1052,191864,27,572,5,66450,51,130146,134573,43210,18762
268,NAGALAND,Longleng,50484,26502,23982,873,635,48849,5,77,0,18230,33,32254,33970,11210,5271
269,NAGALAND,Kiphire,74004,37830,36174,1040,564,71803,13,210,1,32120,41,41884,52699,14955,6309
270,NAGALAND,Kohima,267988,138966,129022,25496,4384,234955,998,1519,80,45802,245,222186,173701,68485,25557
271,NAGALAND,Peren,95219,49714,45505,4076,1850,86145,15,459,10,24790,73,70429,64393,21597,9156
272,MANIPUR,Senapati,479148,247323,231825,43833,1649,426819,140,2409,53,191001,1185,288147,314439,111516,52008
273,MANIPUR,Tamenglong,140651,72371,68280,2995,589,134760,59,425,57,45317,164,95334,90273,33290,16924
274,MANIPUR,Churachandpur,274143,138820,135323,12034,2886,254979,152,495,87,57561,637,216582,168608,67802,37096
275,MANIPUR,Bishnupur,237399,118782,118617,175102,18691,4264,56,76,16,67610,457,169789,135220,62907,38815
276,MANIPUR,Thoubal,422168,210845,211323,267146,107323,4322,106,114,24,118088,937,304080,251975,107196,62060
277,MANIPUR,Imphal West,517992,255054,262938,387497,24298,23377,589,1891,1264,87248,1512,430744,278940,148146,89394
278,MANIPUR,Imphal East,456113,226094,230019,274906,80199,27361,181,639,62,90250,1139,365863,261530,123439,70005
279,MANIPUR,Ukhrul,183998,94718,89280,7553,1115,174112,108,635,70,42156,1472,141842,113715,43646,25165
280,MANIPUR,Chandel,144182,74579,69603,10810,3086,129049,136,400,59,38191,274,105991,86255,39324,18329
281,MIZORAM,Mamit,86364,44828,41536,2989,1782,69104,13,12328,25,20091,50,66273,55914,20082,10318
282,MIZORAM,Kolasib,83955,42918,41037,4000,4426,75210,16,108,2,14217,65,69738,52147,20576,11167
283,MIZORAM,Aizawl,400309,199270,201039,13249,5264,379134,105,1570,76,38248,231,362061,235892,108094,56092
284,MIZORAM,Champhai,125745,63388,62357,1075,699,123446,9,151,45,15449,88,110296,78778,29690,17189
285,MIZORAM,Serchhip,64937,32851,32086,991,335,63444,6,60,9,5963,71,58974,39568,15894,9404
286,MIZORAM,Lunglei,161428,82891,78537,5231,1290,127124,74,27543,93,32451,64,128977,100250,39690,21424
287,MIZORAM,Lawngtlai,117894,60599,57295,1668,522,63892,52,51549,122,54874,37,63020,80723,25303,11831
288,MIZORAM,Saiha,56574,28594,27980,933,514,54977,11,102,4,8787,27,47787,37127,12784,6636
289,TRIPURA,West Tripura,1725739,879428,846311,1512801,152791,53622,499,2128,362,279053,959,1446686,940424,499719,284637
290,TRIPURA,South Tripura,876001,447544,428457,736015,49258,39258,245,49420,106,188363,343,687638,505558,236676,133424
291,TRIPURA,Dhalai,378230,194544,183686,307120,8256,22940,175,39120,85,109130,127,269100,232286,95548,50269
292,TRIPURA,North Tripura,693947,352860,341087,507967,105737,44062,151,34717,307,156840,187,537107,414878,178608,100274
293,MEGHALAYA,West Garo Hills,643291,324159,319132,122936,106788,389956,209,3392,144,208900,1459,434391,427629,143604,70599
294,MEGHALAYA,East Garo Hills,317917,161223,156694,17272,3359,289708,56,1004,38,100781,825,217136,216742,70424,29926
295,MEGHALAYA,South Garo Hills,142334,73170,69164,7036,1050,132984,27,332,10,44849,152,97485,97082,30605,14495
296,MEGHALAYA,West Khasi Hills,383461,193715,189746,6498,1533,366881,58,1313,38,133244,1473,250217,278569,69988,33431
297,MEGHALAYA,Ribhoi,258840,132531,126309,30945,1838,218508,166,428,49,78974,187,179866,183343,52945,22365
298,MEGHALAYA,East Khasi Hills,825922,410749,415173,144935,14185,543394,2495,3111,303,168575,957,657347,545961,192428,86576
299,MEGHALAYA,Jaintia Hills,395124,196285,198839,12456,1646,271596,34,284,45,165184,731,229940,291097,72934,30362
300,ASSAM,Kokrajhar,887142,452905,434237,529068,252271,101091,93,1718,396,340601,800,546541,552671,224715,108956
301,ASSAM,Dhubri,1949258,997848,951410,388380,1553023,4107,254,101,1846,992068,1546,957190,1286592,439375,221745
302,ASSAM,Goalpara,1008183,513292,494891,347878,579929,77862,771,194,477,375071,416,633112,650509,239831,117427
303,ASSAM,Barpeta,1693622,867004,826618,492966,1198036,1020,112,49,399,664161,909,1029461,1072312,405046,215355
304,ASSAM,Morigaon,957423,486651,470772,451882,503257,834,113,65,244,351756,1191,605667,612737,225224,118271
305,ASSAM,Nagaon,2823768,1439112,1384656,1225246,1563203,26844,3036,1073,1162,873197,1345,1950571,1778277,678034,366112
306,ASSAM,Sonitpur,1924110,983904,940206,1422824,350536,138166,1363,5088,1003,627141,1232,1296969,1159991,501239,261648
307,ASSAM,Lakhimpur,1042137,529674,512463,797130,193476,46217,412,1074,250,275677,265,766460,639385,268872,133615
308,ASSAM,Dhemaji,686133,351249,334884,655052,13475,8711,297,911,167,194984,231,491149,434221,169630,82051
309,ASSAM,Tinsukia,1327929,680231,647698,1181347,48373,76877,1999,16228,837,417081,520,910848,799874,352158,175377
310,ASSAM,Dibrugarh,1326335,676434,649901,1198401,64526,52968,2261,4673,1055,340744,550,985591,767147,371864,186774
311,ASSAM,Sivasagar,1151050,589216,561834,1007277,95553,33147,902,3953,286,247114,337,903936,648056,330947,171710
312,ASSAM,Jorhat,1092256,556805,535451,1008219,54684,21051,1540,2378,719,209170,736,883086,604908,315550,171062
313,ASSAM,Golaghat,1066888,543161,523727,917426,90312,50582,1131,3863,530,258897,406,807991,629153,289085,148244
314,ASSAM,Karbi Anglong,956313,490167,466146,766000,20290,157789,370,6260,397,310093,818,646220,618633,233739,103123
315,ASSAM,Dima Hasao,214102,110802,103300,143593,4358,63310,207,680,70,57631,110,156471,135463,53699,24830
316,ASSAM,Cachar,1736617,886284,850333,1038985,654816,37635,280,341,1673,357907,952,1378710,1048990,444899,241776
317,ASSAM,Karimganj,1228686,625864,602822,521962,692489,11990,114,446,524,303785,478,924901,779850,284368,163990
318,ASSAM,Hailakandi,659296,337890,321406,251194,397653,8480,84,490,247,173306,291,485990,419921,156243,82841
319,ASSAM,Bongaigaon,738804,375818,362986,359145,371033,5924,384,236,871,260721,220,478083,458796,184849,94939
320,ASSAM,Chirang,482162,244860,237302,320647,109248,49747,87,406,125,172939,118,309223,301518,122244,58282
321,ASSAM,Kamrup,1517542,778461,739081,877495,601784,33297,319,185,1330,392678,795,1124864,895775,408232,212740
322,ASSAM,Kamrup Metropolitan,1253938,647585,606353,1064412,151071,18810,3679,1627,9250,128773,2077,1125165,659453,401500,190908
323,ASSAM,Nalbari,771639,396006,375633,491582,277488,429,62,27,1004,188960,449,582679,442061,211320,117809
324,ASSAM,Baksa,950075,481330,468745,782901,135750,27076,156,1189,239,294784,621,655291,563089,256282,130083
